"السنة الدراسية","القطاع الدولي","فئة الإبتعاث","المرحلة الدراسية ","المجال الواسع","الجنس","العدد"
"2015.0","استراليا","طالب مبتعث","أخرى","الأعمال، الإدارة والقانون","أنثى","11.0"
"2015.0","استراليا","طالب مبتعث","أخرى","الأعمال، الإدارة والقانون","ذكر","6.0"
"2015.0","استراليا","طالب مبتعث","أخرى","التعليم","أنثى","4.0"
"2015.0","استراليا","طالب مبتعث","أخرى","الصحة والرفاه","أنثى","3.0"
"2015.0","استراليا","طالب مبتعث","أخرى","العلوم الطبيعية، والرياضايات والإحصاء","ذكر","1.0"
"2015.0","استراليا","طالب مبتعث","أخرى","الهندسة، والتصنيع والبناء","ذكر","2.0"
"2015.0","استراليا","طالب مبتعث","أخرى","تكنولوجيا الاتصالات، والمعلومات","ذكر","2.0"
"2015.0","استراليا","طالب مبتعث","بكالوريوس","الأعمال، الإدارة والقانون","أنثى","30.0"
"2015.0","استراليا","طالب مبتعث","بكالوريوس","الأعمال، الإدارة والقانون","ذكر","109.0"
"2015.0","استراليا","طالب مبتعث","بكالوريوس","البرامج و المؤهلات غير المتخصصة","ذكر","1.0"
"2015.0","استراليا","طالب مبتعث","بكالوريوس","التعليم","أنثى","2.0"
"2015.0","استراليا","طالب مبتعث","بكالوريوس","التعليم","ذكر","1.0"
"2015.0","استراليا","طالب مبتعث","بكالوريوس","الخدمات","ذكر","4.0"
"2015.0","استراليا","طالب مبتعث","بكالوريوس","الصحة والرفاه","أنثى","19.0"
"2015.0","استراليا","طالب مبتعث","بكالوريوس","الصحة والرفاه","ذكر","96.0"
"2015.0","استراليا","طالب مبتعث","بكالوريوس","العلوم الاجتماعية، والصحافة والإعلام","ذكر","2.0"
"2015.0","استراليا","طالب مبتعث","بكالوريوس","العلوم الطبيعية، والرياضايات والإحصاء","أنثى","2.0"
"2015.0","استراليا","طالب مبتعث","بكالوريوس","العلوم الطبيعية، والرياضايات والإحصاء","ذكر","5.0"
"2015.0","استراليا","طالب مبتعث","بكالوريوس","الفنون والعلوم الإنسانية","أنثى","8.0"
"2015.0","استراليا","طالب مبتعث","بكالوريوس","الفنون والعلوم الإنسانية","ذكر","1.0"
"2015.0","استراليا","طالب مبتعث","بكالوريوس","الهندسة، والتصنيع والبناء","أنثى","5.0"
"2015.0","استراليا","طالب مبتعث","بكالوريوس","الهندسة، والتصنيع والبناء","ذكر","178.0"
"2015.0","استراليا","طالب مبتعث","بكالوريوس","تكنولوجيا الاتصالات، والمعلومات","أنثى","6.0"
"2015.0","استراليا","طالب مبتعث","بكالوريوس","تكنولوجيا الاتصالات، والمعلومات","ذكر","65.0"
"2015.0","استراليا","طالب مبتعث","بكالوريوس","غير مصنفة","أنثى","1.0"
"2015.0","استراليا","طالب مبتعث","دبلوم","الأعمال، الإدارة والقانون","أنثى","7.0"
"2015.0","استراليا","طالب مبتعث","دبلوم","الأعمال، الإدارة والقانون","ذكر","7.0"
"2015.0","استراليا","طالب مبتعث","دبلوم","الصحة والرفاه","أنثى","1.0"
"2015.0","استراليا","طالب مبتعث","دبلوم","الصحة والرفاه","ذكر","2.0"
"2015.0","استراليا","طالب مبتعث","دبلوم","الفنون والعلوم الإنسانية","أنثى","1.0"
"2015.0","استراليا","طالب مبتعث","دبلوم","الفنون والعلوم الإنسانية","ذكر","1.0"
